"Name","n_hidden","test_error_percentage","_wandb"
"iconic-sweep-7","10","2.4998577311635017",""
"smooth-sweep-6","7","2.3897673934698105",""
"giddy-sweep-5","5","2.563579194247722",""
"curious-sweep-4","3","2.6460064575076103",""
"comic-sweep-3","2","2.7482422068715096",""
"playful-sweep-2","1","2.6572562754154205",""
"clean-sweep-1","0","10.16250029206276",""
